指数代码,指数名称,发布日期,收盘指数,成交量(亿股),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801010,农林牧渔,2013/1/18 0:00,1737.49,6.64,1.95,2.3337,33.93,3.1,11,3.1,"2,737.23",33.38,0.82
801010,农林牧渔,2013/1/17 0:00,1704.18,5.23,-1.45,1.8402,33.28,3.04,10.79,2.55,"2,687.73",32.78,0.83
801010,农林牧渔,2013/1/16 0:00,1729.23,8.16,-0.4,2.8698,33.77,3.09,10.95,2.98,"2,732.99",33.33,0.82
801010,农林牧渔,2013/1/15 0:00,1736.12,10.47,3.15,3.6818,33.9,3.1,10.99,3.52,"2,741.77",33.44,0.82
801010,农林牧渔,2013/1/14 0:00,1683.14,6.62,3.44,2.3294,32.87,3,10.69,2.6,"2,655.32",32.38,0.84
801010,农林牧渔,2013/1/11 0:00,1627.24,5.98,-2.42,2.1039,31.78,2.9,10.32,2.66,"2,563.74",31.27,0.87
801010,农林牧渔,2013/1/10 0:00,1667.61,5.7,0.12,2.003,32.56,2.97,10.57,2.87,"2,627.59",32.04,0.85
801010,农林牧渔,2013/1/9 0:00,1665.62,8.4,1.71,2.9526,32.52,2.97,10.54,3.93,"2,623.85",32,0.85
801010,农林牧渔,2013/1/8 0:00,1637.6,6.02,1.12,2.1179,31.98,2.92,10.41,2.75,"2,579.30",31.45,0.87
801010,农林牧渔,2013/1/7 0:00,1619.47,5.47,1.34,1.9281,31.63,2.89,10.31,2.78,"2,545.64",31.04,0.88
801010,农林牧渔,2013/1/4 0:00,1598.12,5.66,-1,1.9946,31.22,2.85,10.12,2.43,"2,512.64",30.64,0.89
801010,农林牧渔,2012/12/31 0:00,1614.23,5.44,0.78,1.9174,31.53,2.88,10.2,2.63,"2,540.89",30.99,0.88
801010,农林牧渔,2012/12/28 0:00,1601.7,5.08,0.4,1.7889,31.29,2.85,10.14,2.67,"2,519.45",30.73,0.89
801010,农林牧渔,2012/12/27 0:00,1595.28,6.93,-1.34,2.442,31.16,2.84,10.07,3.18,"2,508.67",30.59,0.89
801010,农林牧渔,2012/12/26 0:00,1616.88,7.01,1.32,2.4689,31.58,2.88,10.23,3.37,"2,539.26",30.97,0.88
801010,农林牧渔,2012/12/25 0:00,1595.88,7.61,2.07,2.6821,31.17,2.85,10.03,3.14,"2,508.42",30.59,0.89
801010,农林牧渔,2012/12/24 0:00,1563.53,5.32,0.32,1.8762,30.54,2.79,9.83,3.56,"2,457.84",29.97,0.91
801010,农林牧渔,2012/12/21 0:00,1558.58,7.18,0.09,2.5309,30.44,2.78,9.75,3.9,"2,452.76",29.91,0.91
801010,农林牧渔,2012/12/20 0:00,1557.2,5.87,0.69,2.0689,30.42,2.78,9.7,3.27,"2,448.45",29.86,0.91
801010,农林牧渔,2012/12/19 0:00,1546.54,5.65,-0.68,1.992,30.21,2.76,9.64,3.38,"2,430.60",29.64,0.92
801010,农林牧渔,2012/12/18 0:00,1557.18,8.51,0.06,3.0095,30.4,2.78,9.66,4.07,"2,442.64",29.79,0.91
801010,农林牧渔,2012/12/17 0:00,1556.3,8.52,0.29,3.0125,30.38,2.78,9.63,3.41,"2,440.49",29.76,0.91
801010,农林牧渔,2012/12/14 0:00,1551.87,8.83,5.04,3.121,30.3,2.77,9.63,3.48,"2,436.75",29.72,0.92
