secID,tradeDate,ticker,ChgPct,Close,DownPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
000300.ZICN,20070122,300,3.974,2491.31,2.3333,2373.458,2301.603,2148.667,1810.0098,1576.3107,37.8471,155.5619,136.6383,3.9349,4.4016,33.2686,54.7085,82.5727,81870488111,9389299300,92.6667,2016/11/16 17:27
000300.ZICN,20070123,300,0.675,2508.13,50.3333,2404.31,2332.408,2178.6245,1827.5438,1585.9156,41.6244,162.6536,141.8414,3.9964,4.4364,33.7336,54.96,83.112,92812872354,10233761600,47,2016/11/16 17:27
000300.ZICN,20070124,300,1.128,2536.42,40.6667,2449.808,2360.454,2210.6635,1845.8333,1595.8742,42.8344,168.6129,147.1957,4.0248,4.4641,33.9738,55.3629,84.0195,80277493989,8443369700,53,2016/11/16 17:27
000300.ZICN,20070125,300,-3.296,2452.83,85,2476.956,2382.575,2236.35,1862.61,1605.5284,27.9945,164.6923,150.695,3.8715,4.308,32.6795,55.8593,71.6155,77241720261,8105515100,11,2016/11/16 17:27
000300.ZICN,20070126,300,2.45,2512.92,31,2500.322,2416.493,2265.0845,1880.0842,1615.7857,22.1474,164.5372,153.4634,3.9238,4.3835,33.1217,56.9237,74.5608,73275675715,7865400800,63,2016/11/16 17:27
000300.ZICN,20070129,300,2.546,2576.91,12,2517.442,2445.45,2294.7865,1898.376,1626.6342,22.6908,167.6452,156.2998,4.003,4.5179,33.7897,55.4869,77.2974,79544859355,8545208500,84.3333,2016/11/16 17:27
000300.ZICN,20070130,300,-0.971,2551.88,63.3333,2526.192,2465.251,2323.384,1916.2465,1637.3021,15.7973,166.1731,158.2745,3.987,4.4714,33.6462,55.1652,73.9049,73485012977,7821152800,33.6667,2016/11/16 17:27
000300.ZICN,20070131,300,-6.527,2385.33,94,2495.974,2472.891,2340.5985,1931.1972,1646.8307,-13.4952,149.84,156.5876,3.7805,4.2161,31.8942,55.3759,56.0486,71945032667,8090913700,2.6667,2016/11/16 17:27
000300.ZICN,20070201,300,0.413,2395.17,42.3333,2484.442,2480.699,2357.0025,1945.9852,1656.5896,-32.7469,136.1208,152.4942,3.7679,4.2479,31.7873,49.6347,56.7225,57578101142,6507809500,51.3333,2016/11/16 17:27
000300.ZICN,20070202,300,-4.057,2298,83.3333,2441.458,2470.89,2368.2585,1959.0168,1665.3031,-58.2797,116.0694,145.2092,3.6131,4.1143,30.4815,51.5008,48.6811,53535112102,5937715400,12.6667,2016/11/16 17:27
000300.ZICN,20070205,300,-1.141,2271.79,37.6667,2380.434,2448.938,2375.2705,1971.9105,1673.8072,-77.221,96.9461,135.5566,3.5333,4.1196,29.8081,51.7442,46.7316,42358010146,4758750600,52.3333,2016/11/16 17:27
000300.ZICN,20070206,300,1.948,2316.04,23.3333,2333.266,2429.729,2381.0685,1985.0993,1682.512,-81.8689,84.3886,125.323,3.6181,4.1904,30.5237,52.6681,50.3905,61206502550,6701064800,72.6667,2016/11/16 17:27
000300.ZICN,20070207,300,2.32,2369.78,17.3333,2330.156,2413.065,2386.7595,1999.528,1691.6297,-75.9163,77.8753,115.8335,3.6749,4.2743,31.0011,50.5649,54.5286,66203343445,7010639000,74.3333,2016/11/16 17:27
000300.ZICN,20070208,300,1.723,2410.6,18.3333,2333.242,2408.842,2395.7085,2015.1085,1701.3371,-65.1077,75.1411,107.695,3.7014,4.3708,31.2249,51.5001,57.4683,58367504085,6265654000,77,2016/11/16 17:27
000300.ZICN,20070209,300,-0.554,2397.24,55.6667,2353.09,2397.274,2406.8835,2030.1663,1710.7652,-58.5889,71.0769,100.3714,3.6676,4.3657,30.934,51.6181,56.1717,51302933998,5551553200,39.3333,2016/11/16 17:27
000300.ZICN,20070212,300,3.677,2485.39,4.3333,2395.81,2388.122,2416.786,2046.0102,1720.7805,-42.0108,74.1146,95.12,3.7854,4.5125,31.903,52.9025,62.2949,51709436972,5499232000,91,2016/11/16 17:27
000300.ZICN,20070213,300,1.498,2522.63,19.6667,2437.128,2385.197,2425.224,2062.4993,1731.2056,-26.3989,78.6207,91.8202,3.8215,4.5676,32.1979,53.505,64.5758,48227864862,5152886200,72.3333,2016/11/16 17:27
000300.ZICN,20070214,300,2.605,2588.34,8.6667,2480.84,2405.498,2439.1945,2079.6037,1742.2096,-8.5171,86.497,90.7555,3.9284,4.6693,33.0799,54.5896,68.2705,58462267865,6277727900,87.6667,2016/11/16 17:27
000300.ZICN,20070215,300,3.102,2668.63,3.6667,2532.446,2432.844,2456.7715,2097.5283,1753.8602,11.7304,98.087,92.2218,4.0485,4.8114,34.0903,56.4785,72.1433,67415688269,7163132900,92.3333,2016/11/16 17:27
000300.ZICN,20070216,300,0.304,2676.73,41,2588.344,2470.717,2470.8035,2115.2698,1765.4557,23.1585,106.6959,95.1166,4.0536,4.8495,34.1122,57.4167,72.5125,71597577014,7590878500,55.6667,2016/11/16 17:27
000300.ZICN,20070226,300,1.156,2707.67,24.6667,2632.8,2514.305,2481.6215,2133.3307,1777.3057,31.3221,114.6929,99.0319,4.1372,4.9665,34.5889,58.9622,73.9513,70981612303,7453156000,70.6667,2016/11/16 17:27
000300.ZICN,20070227,300,-9.24,2457.49,95.6667,2619.772,2528.45,2479.0895,2147.0403,1787.0147,1.0594,99.694,99.1643,3.7701,4.5436,31.52,53.5432,50.5921,1.01103E+11,10773680700,1.3333,2016/11/16 17:27
000300.ZICN,20070228,300,3.543,2544.57,11.6667,2611.018,2545.929,2479.497,2162.1735,1797.4242,-8.6578,93.7532,98.0821,3.9082,4.7062,32.6778,55.7167,55.8835,77148246135,8282257100,83.6667,2016/11/16 17:27
000300.ZICN,20070301,300,-2.791,2473.54,76,2572,2552.223,2480.5325,2175.8692,1806.988,-25.1488,82.3641,94.9385,3.7972,4.5415,31.7486,54.1498,51.0212,74299578237,8215965500,21,2016/11/16 17:27
000300.ZICN,20070302,300,1.422,2508.72,21.6667,2538.398,2563.371,2480.3225,2190.281,1816.8094,-31.4076,75.3087,91.0125,3.8459,4.612,32.1553,54.8397,53.2204,54222099462,5794680500,73,2016/11/16 17:27
000300.ZICN,20070305,300,-1.32,2475.6,56.6667,2491.984,2562.392,2475.257,2203.7553,1826.3172,-39.5708,66.2808,86.0662,3.7819,4.6084,31.6268,54.8261,50.8744,63071754494,6851748800,39,2016/11/16 17:27
000300.ZICN,20070306,300,1.805,2520.29,33.3333,2504.544,2562.158,2473.6775,2217.1877,1836.1638,-38.4783,62.0173,81.2564,3.8683,4.6404,32.3249,55.0496,53.8678,50261314068,5263315300,60.3333,2016/11/16 17:27
000300.ZICN,20070307,300,2.743,2589.43,1.6667,2513.516,2562.267,2483.8825,2231.5245,1846.7583,-28.4333,63.4856,77.7022,3.9468,4.7723,32.9794,56.5591,58.1696,57623239829,5972094900,94.3333,2016/11/16 17:27
000300.ZICN,20070308,300,1.475,2627.63,11.6667,2544.334,2558.167,2495.5055,2245.6395,1857.5116,-17.1879,66.9598,75.5537,3.9859,4.8596,33.2764,57.5899,60.3955,53907621543,5538655900,82.6667,2016/11/16 17:27
000300.ZICN,20070309,300,-0.618,2611.39,64.6667,2564.868,2551.633,2511.175,2259.2588,1868.1008,-12.6889,67.6232,73.9676,4.0014,4.8017,33.3774,57.0524,58.9409,67933045137,7041132600,31.6667,2016/11/16 17:27
000300.ZICN,20070312,300,0.183,2616.17,37.3333,2592.982,2542.483,2528.394,2273.2048,1878.6826,-9.9424,67.7536,72.7248,4.0156,4.821,33.4771,57.6422,59.256,60438197476,6246892100,56.6667,2016/11/16 17:27
000300.ZICN,20070313,300,0.917,2640.16,28,2616.956,2560.75,2544.6,2287.6123,1889.6142,-5.9639,68.9974,71.9793,4.0219,4.8978,33.5262,58.5316,60.8989,62061191754,6578890800,66.6667,2016/11/16 17:27
000300.ZICN,20070314,300,-1.621,2597.35,71,2618.54,2566.028,2555.9785,2302.3752,1900.1575,-9.9341,65.7706,70.7376,3.9388,4.8463,32.8326,58.195,56.4665,66581939459,6895208800,25,2016/11/16 17:27
000300.ZICN,20070315,300,1.855,2645.54,13.6667,2622.122,2583.228,2567.7255,2316.6355,1911.0474,-7.0408,66.3371,69.8575,3.9997,4.9637,33.3319,59.8781,60.0382,63266778524,6377848900,81.3333,2016/11/16 17:27
000300.ZICN,20070316,300,-1.562,2604.22,73.3333,2620.688,2592.778,2578.0745,2329.9928,1921.519,-11.4059,62.7288,68.4318,3.9573,4.8755,32.8651,58.3251,55.759,74777024467,7533185000,21,2016/11/16 17:27
000300.ZICN,20070319,300,2.119,2659.41,31.3333,2629.336,2611.159,2586.7755,2344.2522,1932.5276,-7.7475,63.5895,67.4633,4.0753,4.9156,33.7323,59.0187,59.9213,72943661095,7398356600,59.3333,2016/11/16 17:27
000300.ZICN,20070320,300,0.502,2672.77,28,2635.858,2626.407,2594.2825,2358.196,1943.6484,-4.5733,64.605,66.8917,4.0792,4.9555,33.8076,59.7614,60.893,61741482419,6124972600,65.6667,2016/11/16 17:27
000300.ZICN,20070321,300,1.116,2702.59,24.6667,2656.906,2637.723,2599.995,2372.112,1954.8173,0.2424,67.0432,66.922,4.1162,5.0152,34.1147,60.9627,63.0728,68369315608,6461295700,70,2016/11/16 17:27
000300.ZICN,20070322,300,0.323,2711.32,42.6667,2670.062,2646.092,2602.1295,2385.3657,1965.9487,3.1421,68.8858,67.3147,4.1363,5.0344,34.2416,60.8007,63.7186,86036277732,8330807400,52,2016/11/16 17:27
000300.ZICN,20070323,300,0.182,2716.26,42.3333,2692.47,2656.579,2604.106,2398.6127,1977.0983,4.198,69.9385,67.8395,4.1166,5.0396,33.6092,61.0521,64.1062,76304490420,7391191900,52.3333,2016/11/16 17:27
000300.ZICN,20070326,300,1.759,2764.03,10,2713.394,2671.365,2606.924,2412.4042,1988.6448,9.5,73.7769,69.027,4.1576,5.1221,34.0065,62.7027,67.7412,77796101199,7607477300,82.3333,2016/11/16 17:27
000300.ZICN,20070327,300,0.723,2784.02,31.3333,2735.644,2685.751,2623.2505,2426.9882,2000.2836,13.6179,77.5382,70.7292,4.1717,5.1847,34.1237,63.6942,69.1666,84018394699,8072512700,62.6667,2016/11/16 17:27
